,geneSymbol
0,"""Su(var)205"""
1,1200014J11Rik
2,1700006A11Rik
3,1700009N14Rik
4,1810009A15Rik
5,1810026J23Rik
6,2010300C02Rik
7,2310033P09Rik
8,2310035C23Rik
9,2700060E02Rik
10,2810004N23Rik
11,5830415F09Rik
12,A1BG
13,A1CF
14,A1i3
15,A2M
16,A2ML1
17,A2m
18,A3GALT2
19,A4GALT
20,A4GNT
21,A55R
22,AAAS
23,AAC3
24,AACS
25,AADAC
26,AADACL2
27,AADAT
28,AAED1
29,AAGAB
30,AAK1
31,AAMDC
32,AAMP
33,AANAT
34,AAR2
35,AARD
36,AARS
37,AARS2
38,AARSD1
39,AASDH
40,AASDHPPT
41,AASS
42,AATF
43,AATK
44,ABAT
45,ABCA1
46,ABCA10
47,ABCA12
48,ABCA13
49,ABCA17P
50,ABCA2
51,ABCA3
52,ABCA4
53,ABCA5
54,ABCA6
55,ABCA7
56,ABCA8
57,ABCA9
58,ABCB1
59,ABCB10
60,ABCB11
61,ABCB4
62,ABCB5
63,ABCB6
64,ABCB7
65,ABCB8
66,ABCB9
67,ABCC1
68,ABCC10
69,ABCC11
70,ABCC12
71,ABCC13
72,ABCC2
73,ABCC3
74,ABCC4
75,ABCC5
76,ABCC6
77,ABCC8
78,ABCC9
79,ABCD1
80,ABCD2
81,ABCD3
82,ABCD4
83,ABCE1
84,ABCF1
85,ABCF2
86,ABCF3
87,ABCG1
88,ABCG2
89,ABCG4
90,ABCG5
91,ABCG8
92,ABHD1
93,ABHD10
94,ABHD11
95,ABHD12
96,ABHD12B
97,ABHD13
98,ABHD14A
99,ABHD14A-ACY1
100,ABHD14B
101,ABHD15
102,ABHD15-AS1
103,ABHD16A
104,ABHD16B
105,ABHD17A
106,ABHD17B
107,ABHD17C
108,ABHD2
109,ABHD3
110,ABHD4
111,ABHD5
112,ABHD6
113,ABHD8
114,ABI1
115,ABI2
116,ABI3
117,ABI3BP
118,ABL1
119,ABL2
120,ABLIM1
121,ABLIM2
122,ABLIM3
123,ABO
124,ABR
125,ABRA
126,ABRACL
127,ABT1
128,ABTB1
129,ABTB2
130,ABZ2
