,drug_name,drugbank_id,MeSH_id,DrugType,Class,Rheumatoid_Arthritis,Asthma,Multiple_sclerosis
0,(+)-2-(4-biphenyl)propionic acid,DB02047,#N/A,['experimental'],0,0,0,0
1,(+)-Rutamarin alcohol,DB02205,#N/A,['experimental'],0,0,0,0
2,"(1'R,2'S)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-yl)Adenine",DB03216,#N/A,['experimental'],0,0,0,0
3,(1-Benzyl-5-methoxy-2-methyl-1H-indol-3-yl)acetic acid,DB03121,#N/A,['experimental'],0,0,0,0
4,"(1-HYDROXYHEPTANE-1,1-DIYL)BIS(PHOSPHONIC ACID)",DB06830,#N/A,['experimental'],0,0,0,0
5,"(1-HYDROXYNONANE-1,1-DIYL)BIS(PHOSPHONIC ACID)",DB06931,#N/A,['experimental'],0,0,0,0
6,(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone,DB03062,#N/A,['experimental'],0,0,0,0
7,"(10R)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one",DB07430,#N/A,['experimental'],0,0,0,0
8,"(11S)-8-CHLORO-11-[1-(METHYLSULFONYL)PIPERIDIN-4-YL]-6-PIPERAZIN-1-YL-11H-BENZO[5,6]CYCLOHEPTA[1,2-B]PYRIDINE",DB07216,#N/A,['experimental'],0,0,0,0
9,"(13R,15S)-13-METHYL-16-OXA-8,9,12,22,24-PENTAAZAHEXACYCLO[15.6.2.16,9.1,12,15.0,2,7.0,21,25]HEPTACOSA-1(24),2,4,6,17(25),18,20-HEPTAENE-23,26-DIONE",DB06888,#N/A,['experimental'],0,0,0,0
10,"(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate",DB07596,#N/A,['experimental'],0,0,0,0
11,"(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime",DB08553,#N/A,['experimental'],0,0,0,0
12,(1H-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,DB03455,#N/A,['experimental'],0,0,0,0
13,"(1R)-1,2,2-trimethylpropyl (R)-methylphosphinate",DB07821,#N/A,['experimental'],0,0,0,0
14,"(1R)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",DB07772,#N/A,['experimental'],0,0,0,0
15,(1R)-2-[(CYANOMETHYL)AMINO]-1-({[2-(DIFLUOROMETHOXY)BENZYL]SULFONYL}METHYL)-2-OXOETHYL MORPHOLINE-4-CARBOXYLATE,DB08195,#N/A,['experimental'],0,0,0,0
16,"(1R)-2-[(Diaminomethylene)amino]-1-{4-[(4R)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethyl nicotinate",DB07023,#N/A,['experimental'],0,0,0,0
17,(1R)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol,DB08129,#N/A,['experimental'],0,0,0,0
18,"(1R)-N,6-DIHYDROXY-7-METHOXY-2-[(4-METHOXYPHENYL)SULFONYL]-1,2,3,4-TETRAHYDROISOQUINOLINE-1-CARBOXAMIDE",DB08170,#N/A,['experimental'],0,0,0,0
19,(1R)-menthyl hexyl phosphonate group,DB08200,#N/A,['experimental'],0,0,0,0
20,"(1R,2R)-N-(2-Aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide",DB08287,#N/A,['experimental'],0,0,0,0
21,"(1R,2R,3R,4S,5R)-4-(Benzylamino)-5-(methylthio)cyclopentane-1,2,3-triol",DB06984,#N/A,['experimental'],0,0,0,0
22,"(1R,2R,3S,4R,6S)-3,4,6-Trihydroxy-5-{[(S)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",DB02028,#N/A,['experimental'],0,0,0,0
23,"(1R,2S)-2-Phenylcyclopropanaminium",DB02665,#N/A,['experimental'],0,0,0,0
24,"(1R,3R)-5-[(2E)-3-{(1S,3R)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol",DB07530,#N/A,['experimental'],0,0,0,0
25,"(1S)-1,2,3,4-TETRAHYDRO-BENZO[C]PHENANTHRENE-2,3,4-TRIOL",DB07479,#N/A,['experimental'],0,0,0,0
26,"(1S)-1-(1H-INDOL-3-YLMETHYL)-2-(2-PYRIDIN-4-YL-[1,7]NAPHTYRIDIN-5-YLOXY)-EHYLAMINE",DB07204,#N/A,['experimental'],0,0,0,0
27,"(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",DB08498,#N/A,['experimental'],0,0,0,0
28,"(1S)-1-CYCLOPROPYL-2-[(2S)-4-(2,5-DIFLUOROPHENYL)-2-PHENYL-2,5-DIHYDRO-1H-PYRROL-1-YL]-2-OXOETHANAMINE",DB08244,#N/A,['experimental'],0,0,0,0
29,"(1S)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",DB07713,#N/A,['experimental'],0,0,0,0
30,(1S)-2-(1H-INDOL-3-YL)-1-[({5-[(E)-2-PYRIDIN-4-YLVINYL]PYRIDIN-3-YL}OXY)METHYL]ETHYLAMINE,DB07107,#N/A,['experimental'],0,0,0,0
31,"(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-ETHYNYLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE",DB07356,#N/A,['experimental'],0,0,0,0
32,"(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-PROP-1-YN-1-YLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE",DB06880,#N/A,['experimental'],0,0,0,0
33,"(1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",DB08497,#N/A,['experimental'],0,0,0,0
34,(1S)-menthyl hexyl phosphonate group,DB08201,#N/A,['experimental'],0,0,0,0
35,"(1S,2R,5S)-5-[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]-2-(2,4,5-TRIFLUOROPHENYL)CYCLOHEXANAMINE",DB07072,#N/A,['experimental'],0,0,0,0
36,"(1S,2S,3R,4S,5S)-2,3,4-TRIHYDROXY-5-(HYDROXYMETHYL)CYCLOHEXYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE",DB04659,#N/A,['experimental'],0,0,0,0
37,"(1S,2S,3R,6R)-4-(hydroxymethyl)-6-(octylamino)cyclohex-4-ene-1,2,3-triol",DB08321,#N/A,['experimental'],0,0,0,0
38,"(1S,2S,5S)2-(4-GLUTARIDYLBENZYL)-5-PHENYL-1-CYCLOHEXANOL",DB07909,#N/A,['experimental'],0,0,0,0
39,"(1S,3R,4S,5S,7S)-4-{[2-(4-METHOXYPHENOXY)-2-METHYLPROPANOYL]AMINO}ADAMANTANE-1-CARBOXAMIDE",DB08280,#N/A,['experimental'],0,0,0,0
40,"(1S,3R,6S)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylic acid",DB07189,#N/A,['experimental'],0,0,0,0
41,"(1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",DB07465,#N/A,['experimental'],0,0,0,0
42,"(1S,4R,9S)-5-(trifluoromethyl)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-9-amine",DB08128,#N/A,['experimental'],0,0,0,0
43,"(1S,5S,7R)-N~7~-(BIPHENYL-4-YLMETHYL)-N~3~-HYDROXY-6,8-DIOXA-3-AZABICYCLO[3.2.1]OCTANE-3,7-DICARBOXAMIDE",DB07026,#N/A,['experimental'],0,0,0,0
44,"(1S,7S,8S,8AR)-1,2,3,7,8,8A-HEXAHYDRO-7-METHYL-8-[2-[(2R,4R)-TETRAHYDRO-4-HY DROXY-6-OXO-2H-PYRAN-2-YL]ETHYL]-1-NAPHTHALENOL",DB08224,#N/A,['experimental'],0,0,0,0
45,(1Z)-4-(4-FLUOROPHENYL)-2-METHYLIDENEBUTAN-1-IMINE,DB08176,#N/A,['experimental'],0,0,0,0
46,(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine,DB02367,#N/A,['experimental'],0,0,0,0
47,"(2,2-DIPHOSPHONOETHYL)(DODECYL)DIMETHYLPHOSPHONIUM",DB07221,#N/A,['experimental'],0,0,0,0
