,drug_id,drug_name,drug_group,target_id,target_name,target_symbol,target_organ
0,DB00001,Lepirudin,"['approved', 'withdrawn']",BE0000048,Prothrombin,F2,Humans
1,DB00002,Cetuximab,['approved'],BE0000767,Epidermal growth factor receptor,EGFR,Humans
2,DB00002,Cetuximab,['approved'],BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,Humans
3,DB00002,Cetuximab,['approved'],BE0002094,Complement C1q subcomponent subunit A,C1QA,Humans
4,DB00002,Cetuximab,['approved'],BE0002095,Complement C1q subcomponent subunit B,C1QB,Humans
5,DB00002,Cetuximab,['approved'],BE0002096,Complement C1q subcomponent subunit C,C1QC,Humans
6,DB00002,Cetuximab,['approved'],BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Humans
7,DB00002,Cetuximab,['approved'],BE0000710,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,Humans
8,DB00002,Cetuximab,['approved'],BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,Humans
10,DB00004,Denileukin diftitox,"['approved', 'investigational']",BE0000658,Interleukin-2 receptor subunit alpha,IL2RA,Humans
11,DB00004,Denileukin diftitox,"['approved', 'investigational']",BE0000651,Interleukin-2 receptor subunit beta,IL2RB,Humans
12,DB00004,Denileukin diftitox,"['approved', 'investigational']",BE0002102,Cytokine receptor common subunit gamma,IL2RG,Humans
13,DB00005,Etanercept,"['approved', 'investigational']",BE0000704,Tumor necrosis factor,TNF,Humans
14,DB00005,Etanercept,"['approved', 'investigational']",BE0001087,Lymphotoxin-alpha,LTA,Humans
15,DB00005,Etanercept,"['approved', 'investigational']",BE0000710,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,Humans
16,DB00005,Etanercept,"['approved', 'investigational']",BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,Humans
17,DB00005,Etanercept,"['approved', 'investigational']",BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,Humans
18,DB00005,Etanercept,"['approved', 'investigational']",BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,Humans
19,DB00005,Etanercept,"['approved', 'investigational']",BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Humans
20,DB00005,Etanercept,"['approved', 'investigational']",BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,Humans
21,DB00005,Etanercept,"['approved', 'investigational']",BE0009995,Complement component 1q (C1q),C1QA,Humans
22,DB00006,Bivalirudin,"['approved', 'investigational']",BE0000048,Prothrombin,F2,Humans
23,DB00007,Leuprolide,"['approved', 'investigational']",BE0000203,Gonadotropin-releasing hormone receptor,GNRHR,Humans
24,DB00008,Peginterferon alfa-2a,"['approved', 'investigational']",BE0000385,Interferon alpha/beta receptor 2,IFNAR2,Humans
25,DB00008,Peginterferon alfa-2a,"['approved', 'investigational']",BE0000661,Interferon alpha/beta receptor 1,IFNAR1,Humans
26,DB00009,Alteplase,"['approved', 'investigational']",BE0000211,Plasminogen,PLG,Humans
27,DB00009,Alteplase,"['approved', 'investigational']",BE0000538,Fibrinogen alpha chain,FGA,Humans
28,DB00009,Alteplase,"['approved', 'investigational']",BE0002092,Fibrinogen gamma chain,FGG,Humans
29,DB00009,Alteplase,"['approved', 'investigational']",BE0000240,Plasminogen activator inhibitor 1,SERPINE1,Humans
30,DB00010,Sermorelin,"['approved', 'withdrawn']",BE0000625,Growth hormone-releasing hormone receptor,GHRHR,Humans
31,DB00011,Interferon alfa-n1,"['approved', 'investigational']",BE0000661,Interferon alpha/beta receptor 1,IFNAR1,Humans
32,DB00011,Interferon alfa-n1,"['approved', 'investigational']",BE0000385,Interferon alpha/beta receptor 2,IFNAR2,Humans
33,DB00012,Darbepoetin alfa,"['approved', 'investigational']",BE0000654,Erythropoietin receptor,EPOR,Humans
34,DB00013,Urokinase,"['approved', 'investigational', 'withdrawn']",BE0000211,Plasminogen,PLG,Humans
35,DB00013,Urokinase,"['approved', 'investigational', 'withdrawn']",BE0000717,Urokinase plasminogen activator surface receptor,PLAUR,Humans
36,DB00013,Urokinase,"['approved', 'investigational', 'withdrawn']",BE0000240,Plasminogen activator inhibitor 1,SERPINE1,Humans
37,DB00013,Urokinase,"['approved', 'investigational', 'withdrawn']",BE0000969,Plasminogen activator inhibitor 2,SERPINB2,Humans
38,DB00013,Urokinase,"['approved', 'investigational', 'withdrawn']",BE0002112,Plasma serine protease inhibitor,SERPINA5,Humans
39,DB00013,Urokinase,"['approved', 'investigational', 'withdrawn']",BE0000942,Low-density lipoprotein receptor-related protein 2,LRP2,Humans
40,DB00013,Urokinase,"['approved', 'investigational', 'withdrawn']",BE0001656,Suppressor of tumorigenicity 14 protein,ST14,Humans
41,DB00013,Urokinase,"['approved', 'investigational', 'withdrawn']",BE0002113,Nidogen-1,NID1,Humans
42,DB00014,Goserelin,['approved'],BE0000134,Lutropin-choriogonadotropic hormone receptor,LHCGR,Humans
43,DB00014,Goserelin,['approved'],BE0000203,Gonadotropin-releasing hormone receptor,GNRHR,Humans
44,DB00015,Reteplase,"['approved', 'investigational']",BE0000211,Plasminogen,PLG,Humans
45,DB00015,Reteplase,"['approved', 'investigational']",BE0000538,Fibrinogen alpha chain,FGA,Humans
46,DB00015,Reteplase,"['approved', 'investigational']",BE0000240,Plasminogen activator inhibitor 1,SERPINE1,Humans
47,DB00016,Erythropoietin,['approved'],BE0000654,Erythropoietin receptor,EPOR,Humans
48,DB00017,Salmon calcitonin,"['approved', 'investigational']",BE0000431,Calcitonin receptor,CALCR,Humans
49,DB00018,Interferon alfa-n3,"['approved', 'investigational']",BE0000661,Interferon alpha/beta receptor 1,IFNAR1,Humans
50,DB00018,Interferon alfa-n3,"['approved', 'investigational']",BE0000385,Interferon alpha/beta receptor 2,IFNAR2,Humans
51,DB00019,Pegfilgrastim,['approved'],BE0000793,Granulocyte colony-stimulating factor receptor,CSF3R,Humans
52,DB00020,Sargramostim,"['approved', 'investigational']",BE0000628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2RA,Humans
53,DB00020,Sargramostim,"['approved', 'investigational']",BE0001036,Interleukin-3 receptor subunit alpha,IL3RA,Humans
54,DB00020,Sargramostim,"['approved', 'investigational']",BE0002115,Cytokine receptor common subunit beta,CSF2RB,Humans
55,DB00020,Sargramostim,"['approved', 'investigational']",BE0002116,Syndecan-2,SDC2,Humans
56,DB00020,Sargramostim,"['approved', 'investigational']",BE0002114,Bone marrow proteoglycan,PRG2,Humans
57,DB00022,Peginterferon alfa-2b,['approved'],BE0000661,Interferon alpha/beta receptor 1,IFNAR1,Humans
58,DB00022,Peginterferon alfa-2b,['approved'],BE0000385,Interferon alpha/beta receptor 2,IFNAR2,Humans
60,DB00024,Thyrotropin alfa,"['approved', 'vet_approved']",BE0000490,Thyrotropin receptor,TSHR,Humans
61,DB00025,"Antihemophilic factor, human recombinant","['approved', 'investigational']",BE0000216,Coagulation factor X,F10,Humans
62,DB00025,"Antihemophilic factor, human recombinant","['approved', 'investigational']",BE0000364,Coagulation factor IX,F9,Humans
63,DB00025,"Antihemophilic factor, human recombinant","['approved', 'investigational']",BE0001043,von Willebrand factor,VWF,Humans
64,DB00025,"Antihemophilic factor, human recombinant","['approved', 'investigational']",BE0002117,"Phytanoyl-CoA dioxygenase, peroxisomal",PHYH,Humans
65,DB00025,"Antihemophilic factor, human recombinant","['approved', 'investigational']",BE0002118,Asialoglycoprotein receptor 2,ASGR2,Humans
66,DB00025,"Antihemophilic factor, human recombinant","['approved', 'investigational']",BE0001098,78 kDa glucose-regulated protein,HSPA5,Humans
67,DB00025,"Antihemophilic factor, human recombinant","['approved', 'investigational']",BE0002109,Calreticulin,CALR,Humans
68,DB00025,"Antihemophilic factor, human recombinant","['approved', 'investigational']",BE0001011,Calnexin,CANX,Humans
69,DB00025,"Antihemophilic factor, human recombinant","['approved', 'investigational']",BE0002119,Protein ERGIC-53,LMAN1,Humans
70,DB00025,"Antihemophilic factor, human recombinant","['approved', 'investigational']",BE0002110,Prolow-density lipoprotein receptor-related protein 1,LRP1,Humans
71,DB00025,"Antihemophilic factor, human recombinant","['approved', 'investigational']",BE0002120,Multiple coagulation factor deficiency protein 2,MCFD2,Humans
72,DB00026,Anakinra,"['approved', 'investigational']",BE0000565,Interleukin-1 receptor type 1,IL1R1,Humans
73,DB00028,Human immunoglobulin G,"['approved', 'investigational']",BE0000710,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,Humans
74,DB00028,Human immunoglobulin G,"['approved', 'investigational']",BE0004684,High affinity immunoglobulin gamma Fc receptor IB,FCGR1B,Humans
75,DB00028,Human immunoglobulin G,"['approved', 'investigational']",BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,Humans
76,DB00028,Human immunoglobulin G,"['approved', 'investigational']",BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,Humans
77,DB00028,Human immunoglobulin G,"['approved', 'investigational']",BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,Humans
78,DB00028,Human immunoglobulin G,"['approved', 'investigational']",BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Humans
79,DB00028,Human immunoglobulin G,"['approved', 'investigational']",BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,Humans
80,DB00028,Human immunoglobulin G,"['approved', 'investigational']",BE0003455,Complement C3,C3,Humans
81,DB00028,Human immunoglobulin G,"['approved', 'investigational']",BE0004685,Complement C4-A,C4A,Humans
82,DB00028,Human immunoglobulin G,"['approved', 'investigational']",BE0004686,Complement C4-B,C4B,Humans
83,DB00028,Human immunoglobulin G,"['approved', 'investigational']",BE0000855,Complement C5,C5,Humans
84,DB00029,Anistreplase,['approved'],BE0000211,Plasminogen,PLG,Humans
85,DB00029,Anistreplase,['approved'],BE0000538,Fibrinogen alpha chain,FGA,Humans
86,DB00029,Anistreplase,['approved'],BE0000240,Plasminogen activator inhibitor 1,SERPINE1,Humans
87,DB00030,Insulin human,"['approved', 'investigational']",BE0000033,Insulin receptor,INSR,Humans
88,DB00030,Insulin human,"['approved', 'investigational']",BE0000858,Insulin-like growth factor 1 receptor,IGF1R,Humans
89,DB00030,Insulin human,"['approved', 'investigational']",BE0001123,Carboxypeptidase E,CPE,Humans
90,DB00030,Insulin human,"['approved', 'investigational']",BE0001147,Protein NOV homolog,NOV,Humans
91,DB00030,Insulin human,"['approved', 'investigational']",BE0000942,Low-density lipoprotein receptor-related protein 2,LRP2,Humans
92,DB00030,Insulin human,"['approved', 'investigational']",BE0002126,Insulin-like growth factor-binding protein 7,IGFBP7,Humans
93,DB00031,Tenecteplase,['approved'],BE0000211,Plasminogen,PLG,Humans
94,DB00031,Tenecteplase,['approved'],BE0000538,Fibrinogen alpha chain,FGA,Humans
95,DB00031,Tenecteplase,['approved'],BE0000717,Urokinase plasminogen activator surface receptor,PLAUR,Humans
96,DB00031,Tenecteplase,['approved'],BE0000240,Plasminogen activator inhibitor 1,SERPINE1,Humans
97,DB00031,Tenecteplase,['approved'],BE0000969,Plasminogen activator inhibitor 2,SERPINB2,Humans
98,DB00031,Tenecteplase,['approved'],BE0002104,Tetranectin,CLEC3B,Humans
99,DB00031,Tenecteplase,['approved'],BE0002105,"Keratin, type II cytoskeletal 8",KRT8,Humans
100,DB00031,Tenecteplase,['approved'],BE0001170,Annexin A2,ANXA2,Humans
101,DB00031,Tenecteplase,['approved'],BE0002109,Calreticulin,CALR,Humans
